<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.06.26	00:00:00	1.27072	1.27081	1.27058	1.27081	3	0	78
2023.06.26	00:01:00	1.27081	1.27081	1.27039	1.27081	3	0	78
2023.06.26	00:02:00	1.27081	1.27081	1.27070	1.27072	8	0	144
2023.06.26	00:03:00	1.27072	1.27091	1.27072	1.27091	2	0	125
2023.06.26	00:04:00	1.27091	1.27091	1.27091	1.27091	1	0	125
2023.06.26	00:05:00	1.27091	1.27091	1.27072	1.27072	2	0	125
2023.06.26	00:06:00	1.27072	1.27072	1.27072	1.27072	1	0	144
2023.06.26	00:07:00	1.27072	1.27072	1.27072	1.27072	1	0	144
2023.06.26	00:08:00	1.27072	1.27072	1.27072	1.27072	1	0	144
2023.06.26	00:09:00	1.27072	1.27072	1.27072	1.27072	1	0	144
2023.06.26	00:10:00	1.27072	1.27072	1.27072	1.27072	1	0	144
2023.06.26	00:11:00	1.27072	1.27072	1.27072	1.27072	1	0	144
2023.06.26	00:12:00	1.27072	1.27072	1.27072	1.27072	1	0	144
2023.06.26	00:13:00	1.27072	1.27072	1.27072	1.27072	1	0	144
2023.06.26	00:14:00	1.27072	1.27072	1.27072	1.27072	1	0	144
2023.06.26	00:15:00	1.27072	1.27075	1.27072	1.27072	3	0	130
2023.06.26	00:16:00	1.27072	1.27072	1.27071	1.27071	2	0	112
2023.06.26	00:17:00	1.27071	1.27071	1.27071	1.27071	1	0	131
2023.06.26	00:18:00	1.27071	1.27074	1.27071	1.27074	2	0	128
2023.06.26	00:19:00	1.27074	1.27100	1.27074	1.27100	4	0	101
2023.06.26	00:20:00	1.27100	1.27100	1.27100	1.27100	1	0	100
2023.06.26	00:21:00	1.27100	1.27100	1.27100	1.27100	1	0	100
2023.06.26	00:22:00	1.27100	1.27100	1.27100	1.27100	1	0	100
2023.06.26	00:23:00	1.27100	1.27100	1.27098	1.27098	2	0	90
2023.06.26	00:24:00	1.27098	1.27098	1.27064	1.27087	10	0	98
2023.06.26	00:25:00	1.27087	1.27087	1.27086	1.27087	3	0	125
2023.06.26	00:26:00	1.27087	1.27101	1.27087	1.27101	14	0	99
2023.06.26	00:27:00	1.27101	1.27104	1.27101	1.27103	8	0	95
2023.06.26	00:28:00	1.27103	1.27103	1.27102	1.27103	3	0	95
2023.06.26	00:29:00	1.27103	1.27109	1.27103	1.27108	5	0	87
2023.06.26	00:30:00	1.27112	1.27136	1.27112	1.27135	17	0	59
2023.06.26	00:31:00	1.27135	1.27141	1.27132	1.27140	9	0	53
2023.06.26	00:32:00	1.27140	1.27143	1.27140	1.27142	13	0	51
2023.06.26	00:33:00	1.27142	1.27142	1.27132	1.27132	7	0	52
2023.06.26	00:34:00	1.27132	1.27134	1.27132	1.27133	3	0	58
2023.06.26	00:35:00	1.27133	1.27137	1.27131	1.27133	11	0	52
2023.06.26	00:36:00	1.27133	1.27133	1.27132	1.27132	2	0	56
2023.06.26	00:37:00	1.27132	1.27133	1.27132	1.27132	3	0	56
2023.06.26	00:38:00	1.27132	1.27142	1.27121	1.27128	10	0	57
2023.06.26	00:39:00	1.27128	1.27134	1.27128	1.27132	7	0	59
2023.06.26	00:40:00	1.27132	1.27132	1.27131	1.27131	2	0	61
2023.06.26	00:41:00	1.27131	1.27132	1.27131	1.27132	2	0	61
2023.06.26	00:42:00	1.27132	1.27133	1.27130	1.27130	6	0	60
2023.06.26	00:43:00	1.27130	1.27132	1.27130	1.27132	3	0	61
2023.06.26	00:44:00	1.27132	1.27132	1.27132	1.27132	1	0	61
2023.06.26	00:45:00	1.27132	1.27132	1.27132	1.27132	1	0	61
2023.06.26	00:46:00	1.27132	1.27132	1.27132	1.27132	1	0	61
2023.06.26	00:47:00	1.27132	1.27134	1.27131	1.27133	7	0	61
2023.06.26	00:48:00	1.27133	1.27133	1.27132	1.27132	2	0	98
2023.06.26	00:49:00	1.27132	1.27137	1.27124	1.27124	9	0	92
2023.06.26	00:50:00	1.27124	1.27124	1.27123	1.27123	2	0	85
2023.06.26	00:51:00	1.27123	1.27123	1.27123	1.27123	1	0	85
2023.06.26	00:52:00	1.27123	1.27125	1.27122	1.27125	7	0	84
2023.06.26	00:53:00	1.27124	1.27141	1.27124	1.27141	11	0	80
2023.06.26	00:54:00	1.27141	1.27141	1.27137	1.27137	3	0	75
2023.06.26	00:55:00	1.27137	1.27137	1.27135	1.27136	3	0	72
2023.06.26	00:56:00	1.27136	1.27136	1.27135	1.27135	2	0	71
2023.06.26	00:57:00	1.27135	1.27135	1.27135	1.27135	1	0	72
2023.06.26	00:58:00	1.27135	1.27136	1.27135	1.27136	2	0	71
2023.06.26	00:59:00	1.27136	1.27139	1.27136	1.27139	2	0	62
2023.06.26	01:00:00	1.27144	1.27207	1.27144	1.27202	31	0	6
2023.06.26	01:01:00	1.27209	1.27209	1.27194	1.27198	21	0	10
2023.06.26	01:02:00	1.27198	1.27206	1.27197	1.27205	17	0	5
2023.06.26	01:03:00	1.27205	1.27206	1.27180	1.27188	13	0	6
2023.06.26	01:04:00	1.27188	1.27219	1.27188	1.27219	15	0	4
