<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.06.26	00:00:00	1.27072	1.27109	1.27039	1.27108	88	0	78
2023.06.26	00:30:00	1.27112	1.27143	1.27112	1.27139	150	0	51
2023.06.26	01:00:00	1.27144	1.27235	1.27144	1.27215	632	0	0
2023.06.26	01:30:00	1.27216	1.27250	1.27204	1.27232	846	0	0
2023.06.26	02:00:00	1.27232	1.27290	1.27212	1.27267	832	0	0
2023.06.26	02:30:00	1.27266	1.27313	1.27266	1.27291	753	0	0
2023.06.26	03:00:00	1.27287	1.27332	1.27250	1.27315	1752	0	0
2023.06.26	03:30:00	1.27315	1.27354	1.27288	1.27336	1449	0	0
2023.06.26	04:00:00	1.27336	1.27348	1.27269	1.27334	1412	0	0
2023.06.26	04:30:00	1.27335	1.27388	1.27308	1.27309	1283	0	0
2023.06.26	05:00:00	1.27309	1.27365	1.27307	1.27361	828	0	0
2023.06.26	05:30:00	1.27361	1.27367	1.27329	1.27330	934	0	0
2023.06.26	06:00:00	1.27329	1.27360	1.27305	1.27347	945	0	0
2023.06.26	06:30:00	1.27347	1.27349	1.27294	1.27315	718	0	0
2023.06.26	07:00:00	1.27315	1.27334	1.27297	1.27302	639	0	0
2023.06.26	07:30:00	1.27302	1.27325	1.27282	1.27324	678	0	0
2023.06.26	08:00:00	1.27322	1.27359	1.27315	1.27343	1040	0	0
2023.06.26	08:30:00	1.27343	1.27392	1.27322	1.27339	1465	0	0
2023.06.26	09:00:00	1.27329	1.27367	1.27227	1.27242	1685	0	0
2023.06.26	09:30:00	1.27241	1.27249	1.27104	1.27209	1478	0	0
2023.06.26	10:00:00	1.27209	1.27415	1.27190	1.27387	1776	0	0
2023.06.26	10:30:00	1.27385	1.27486	1.27302	1.27430	2058	0	0
2023.06.26	11:00:00	1.27427	1.27468	1.27294	1.27411	2237	0	0
2023.06.26	11:30:00	1.27411	1.27449	1.27346	1.27372	1637	0	0
2023.06.26	12:00:00	1.27370	1.27448	1.27338	1.27382	1374	0	0
2023.06.26	12:30:00	1.27381	1.27404	1.27286	1.27311	1614	0	0
2023.06.26	13:00:00	1.27310	1.27367	1.27268	1.27337	1404	0	0
2023.06.26	13:30:00	1.27337	1.27350	1.27073	1.27109	1718	0	0
2023.06.26	14:00:00	1.27108	1.27160	1.26983	1.27004	1809	0	0
2023.06.26	14:30:00	1.27003	1.27163	1.26880	1.27152	1643	0	0
2023.06.26	15:00:00	1.27144	1.27191	1.27094	1.27155	1722	0	0
2023.06.26	15:30:00	1.27155	1.27172	1.27040	1.27168	1345	0	0
2023.06.26	16:00:00	1.27096	1.27159	1.27040	1.27101	1450	0	0
2023.06.26	16:30:00	1.27100	1.27144	1.27012	1.27144	2123	0	0
2023.06.26	17:00:00	1.27143	1.27174	1.27038	1.27049	2047	0	0
2023.06.26	17:30:00	1.27049	1.27180	1.26947	1.27092	2101	0	0
2023.06.26	18:00:00	1.27092	1.27244	1.27077	1.27199	1691	0	0
2023.06.26	18:30:00	1.27198	1.27278	1.27187	1.27217	1341	0	0
2023.06.26	19:00:00	1.27216	1.27222	1.27149	1.27149	1551	0	0
2023.06.26	19:30:00	1.27149	1.27231	1.27130	1.27219	1274	0	0
2023.06.26	20:00:00	1.27219	1.27238	1.27196	1.27232	1118	0	0
2023.06.26	20:30:00	1.27232	1.27260	1.27169	1.27176	953	0	0
2023.06.26	21:00:00	1.27176	1.27230	1.27162	1.27223	848	0	0
2023.06.26	21:30:00	1.27223	1.27231	1.27190	1.27200	587	0	0
2023.06.26	22:00:00	1.27200	1.27216	1.27163	1.27165	782	0	0
2023.06.26	22:30:00	1.27161	1.27180	1.27099	1.27102	887	0	0
2023.06.26	23:00:00	1.27103	1.27141	1.27100	1.27108	338	0	0
2023.06.26	23:30:00	1.27108	1.27137	1.27105	1.27109	295	0	0
2023.06.27	00:00:00	1.27089	1.27124	1.27030	1.27064	164	0	2
2023.06.27	00:30:00	1.27064	1.27133	1.27064	1.27106	138	0	6
2023.06.27	01:00:00	1.27105	1.27133	1.27105	1.27116	490	0	3
2023.06.27	01:30:00	1.27118	1.27145	1.27115	1.27144	848	0	1
2023.06.27	02:00:00	1.27144	1.27144	1.27097	1.27114	405	0	0
2023.06.27	02:30:00	1.27115	1.27123	1.27100	1.27106	834	0	0
2023.06.27	03:00:00	1.27106	1.27119	1.27066	1.27117	1134	0	0
2023.06.27	03:30:00	1.27118	1.27158	1.27035	1.27050	1176	0	0
2023.06.27	04:00:00	1.27052	1.27117	1.27045	1.27091	1484	0	0
2023.06.27	04:30:00	1.27091	1.27369	1.27077	1.27248	2143	0	0
2023.06.27	05:00:00	1.27248	1.27270	1.27185	1.27189	949	0	0
2023.06.27	05:30:00	1.27189	1.27284	1.27184	1.27283	983	0	0
2023.06.27	06:00:00	1.27283	1.27308	1.27240	1.27287	1090	0	0
2023.06.27	06:30:00	1.27287	1.27332	1.27266	1.27276	937	0	0
2023.06.27	07:00:00	1.27276	1.27301	1.27265	1.27288	767	0	0
2023.06.27	07:30:00	1.27288	1.27322	1.27267	1.27292	680	0	0
2023.06.27	08:00:00	1.27292	1.27393	1.27290	1.27388	864	0	0
2023.06.27	08:30:00	1.27388	1.27390	1.27292	1.27295	1483	0	0
2023.06.27	09:00:00	1.27293	1.27439	1.27276	1.27428	1512	0	0
2023.06.27	09:30:00	1.27427	1.27581	1.27399	1.27469	1332	0	0
2023.06.27	10:00:00	1.27473	1.27512	1.27399	1.27403	1752	0	0
2023.06.27	10:30:00	1.27402	1.27433	1.27320	1.27349	1807	0	0
2023.06.27	11:00:00	1.27349	1.27370	1.27261	1.27321	2062	0	0
2023.06.27	11:30:00	1.27320	1.27374	1.27290	1.27373	1537	0	0
2023.06.27	12:00:00	1.27371	1.27378	1.27138	1.27171	1507	0	0
2023.06.27	12:30:00	1.27171	1.27222	1.27119	1.27182	1390	0	0
2023.06.27	13:00:00	1.27182	1.27276	1.27167	1.27265	1507	0	0
2023.06.27	13:30:00	1.27265	1.27390	1.27245	1.27329	1305	0	0
2023.06.27	14:00:00	1.27328	1.27332	1.27206	1.27309	1129	0	0
2023.06.27	14:30:00	1.27309	1.27317	1.27207	1.27279	1733	0	0
2023.06.27	15:00:00	1.27274	1.27379	1.27261	1.27268	2013	0	0
2023.06.27	15:30:00	1.27264	1.27443	1.27162	1.27373	2625	0	0
2023.06.27	16:00:00	1.27374	1.27573	1.27345	1.27479	2080	0	0
2023.06.27	16:30:00	1.27479	1.27547	1.27409	1.27528	2697	0	0
2023.06.27	17:00:00	1.27528	1.27560	1.27333	1.27444	3083	0	0
2023.06.27	17:30:00	1.27443	1.27514	1.27363	1.27450	2520	0	0
2023.06.27	18:00:00	1.27452	1.27472	1.27381	1.27450	2246	0	0
2023.06.27	18:30:00	1.27453	1.27593	1.27449	1.27494	1887	0	0
2023.06.27	19:00:00	1.27494	1.27543	1.27467	1.27508	1302	0	0
2023.06.27	19:30:00	1.27509	1.27562	1.27469	1.27497	1014	0	0
2023.06.27	20:00:00	1.27497	1.27521	1.27458	1.27460	1715	0	0
2023.06.27	20:30:00	1.27458	1.27543	1.27432	1.27489	1062	0	0
2023.06.27	21:00:00	1.27492	1.27516	1.27450	1.27474	1366	0	0
2023.06.27	21:30:00	1.27475	1.27516	1.27464	1.27516	999	0	0
2023.06.27	22:00:00	1.27515	1.27557	1.27487	1.27553	1153	0	0
2023.06.27	22:30:00	1.27552	1.27575	1.27535	1.27535	1155	0	0
2023.06.27	23:00:00	1.27535	1.27535	1.27487	1.27492	485	0	0
2023.06.27	23:30:00	1.27492	1.27492	1.27466	1.27480	353	0	0
2023.06.28	00:00:00	1.27484	1.27498	1.27441	1.27469	146	0	20
2023.06.28	00:30:00	1.27470	1.27486	1.27467	1.27480	145	0	1
2023.06.28	01:00:00	1.27480	1.27522	1.27480	1.27496	416	0	0
2023.06.28	01:30:00	1.27492	1.27496	1.27469	1.27474	502	0	0
2023.06.28	02:00:00	1.27476	1.27484	1.27460	1.27462	522	0	0
2023.06.28	02:30:00	1.27462	1.27476	1.27437	1.27455	798	0	0
2023.06.28	03:00:00	1.27455	1.27518	1.27432	1.27483	1239	0	0
2023.06.28	03:30:00	1.27483	1.27484	1.27420	1.27438	1842	0	0
2023.06.28	04:00:00	1.27440	1.27462	1.27338	1.27366	1389	0	0
2023.06.28	04:30:00	1.27368	1.27388	1.27283	1.27293	1942	0	0
