<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.06.26	00:00:00	1.27072	1.27143	1.27039	1.27139	238	0	51
2023.06.26	01:00:00	1.27144	1.27250	1.27144	1.27232	1478	0	0
2023.06.26	02:00:00	1.27232	1.27313	1.27212	1.27291	1585	0	0
2023.06.26	03:00:00	1.27287	1.27354	1.27250	1.27336	3201	0	0
2023.06.26	04:00:00	1.27336	1.27388	1.27269	1.27309	2695	0	0
2023.06.26	05:00:00	1.27309	1.27367	1.27307	1.27330	1762	0	0
2023.06.26	06:00:00	1.27329	1.27360	1.27294	1.27315	1663	0	0
2023.06.26	07:00:00	1.27315	1.27334	1.27282	1.27324	1317	0	0
2023.06.26	08:00:00	1.27322	1.27392	1.27315	1.27339	2505	0	0
2023.06.26	09:00:00	1.27329	1.27367	1.27104	1.27209	3163	0	0
2023.06.26	10:00:00	1.27209	1.27486	1.27190	1.27430	3834	0	0
2023.06.26	11:00:00	1.27427	1.27468	1.27294	1.27372	3874	0	0
2023.06.26	12:00:00	1.27370	1.27448	1.27286	1.27311	2988	0	0
2023.06.26	13:00:00	1.27310	1.27367	1.27073	1.27109	3122	0	0
2023.06.26	14:00:00	1.27108	1.27163	1.26880	1.27152	3452	0	0
2023.06.26	15:00:00	1.27144	1.27191	1.27040	1.27168	3067	0	0
2023.06.26	16:00:00	1.27096	1.27159	1.27012	1.27144	3573	0	0
2023.06.26	17:00:00	1.27143	1.27180	1.26947	1.27092	4148	0	0
2023.06.26	18:00:00	1.27092	1.27278	1.27077	1.27217	3032	0	0
2023.06.26	19:00:00	1.27216	1.27231	1.27130	1.27219	2825	0	0
2023.06.26	20:00:00	1.27219	1.27260	1.27169	1.27176	2071	0	0
2023.06.26	21:00:00	1.27176	1.27231	1.27162	1.27200	1435	0	0
2023.06.26	22:00:00	1.27200	1.27216	1.27099	1.27102	1669	0	0
2023.06.26	23:00:00	1.27103	1.27141	1.27100	1.27109	633	0	0
2023.06.27	00:00:00	1.27089	1.27133	1.27030	1.27106	302	0	2
2023.06.27	01:00:00	1.27105	1.27145	1.27105	1.27144	1338	0	1
2023.06.27	02:00:00	1.27144	1.27144	1.27097	1.27106	1239	0	0
2023.06.27	03:00:00	1.27106	1.27158	1.27035	1.27050	2310	0	0
2023.06.27	04:00:00	1.27052	1.27369	1.27045	1.27248	3627	0	0
2023.06.27	05:00:00	1.27248	1.27284	1.27184	1.27283	1932	0	0
2023.06.27	06:00:00	1.27283	1.27332	1.27240	1.27276	2027	0	0
2023.06.27	07:00:00	1.27276	1.27322	1.27265	1.27292	1447	0	0
