<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.06.01	00:00:00	1.26026	1.26030	1.25986	1.25997	106	0	13
2022.06.01	01:00:00	1.25992	1.26103	1.25988	1.26100	769	0	2
2022.06.01	02:00:00	1.26100	1.26121	1.26054	1.26092	1016	0	0
2022.06.01	03:00:00	1.26096	1.26166	1.26056	1.26094	2504	0	0
2022.06.01	04:00:00	1.26091	1.26094	1.25904	1.25978	3365	0	0
2022.06.01	05:00:00	1.25977	1.26036	1.25904	1.25974	2921	0	0
2022.06.01	06:00:00	1.25973	1.26001	1.25914	1.25941	2316	0	0
2022.06.01	07:00:00	1.25942	1.25951	1.25755	1.25826	2175	0	0
2022.06.01	08:00:00	1.25826	1.25872	1.25750	1.25828	3073	0	0
2022.06.01	09:00:00	1.25822	1.25995	1.25781	1.25970	3896	0	0
2022.06.01	10:00:00	1.25972	1.26120	1.25905	1.25950	5096	0	0
2022.06.01	11:00:00	1.25948	1.26117	1.25763	1.25783	4298	0	0
2022.06.01	12:00:00	1.25783	1.25920	1.25718	1.25901	3161	0	0
2022.06.01	13:00:00	1.25900	1.26050	1.25860	1.25860	3256	0	0
2022.06.01	14:00:00	1.25859	1.25910	1.25594	1.25726	3572	0	0
2022.06.01	15:00:00	1.25732	1.25998	1.25688	1.25875	4181	0	0
2022.06.01	16:00:00	1.25877	1.25947	1.25313	1.25387	5330	0	0
2022.06.01	17:00:00	1.25326	1.25381	1.24844	1.24971	7190	0	0
2022.06.01	18:00:00	1.24963	1.24976	1.24583	1.24700	5660	0	0
2022.06.01	19:00:00	1.24697	1.24833	1.24671	1.24702	4147	0	0
2022.06.01	20:00:00	1.24695	1.24995	1.24695	1.24930	3630	0	0
2022.06.01	21:00:00	1.24932	1.25021	1.24858	1.24932	4188	0	0
2022.06.01	22:00:00	1.24932	1.24972	1.24824	1.24830	3343	0	0
2022.06.01	23:00:00	1.24829	1.24980	1.24770	1.24836	1729	0	0
2022.06.02	00:00:00	1.24836	1.24886	1.24828	1.24854	674	0	18
2022.06.02	01:00:00	1.24860	1.24866	1.24827	1.24846	416	0	0
2022.06.02	02:00:00	1.24848	1.24872	1.24802	1.24834	751	0	0
2022.06.02	03:00:00	1.24836	1.24916	1.24743	1.24859	2682	0	0
2022.06.02	04:00:00	1.24854	1.24878	1.24762	1.24828	2577	0	0
2022.06.02	05:00:00	1.24827	1.24876	1.24711	1.24740	2346	0	0
2022.06.02	06:00:00	1.24739	1.24835	1.24739	1.24784	2026	0	0
2022.06.02	07:00:00	1.24783	1.24870	1.24773	1.24855	1276	0	0
2022.06.02	08:00:00	1.24854	1.24873	1.24694	1.24813	2130	0	0
2022.06.02	09:00:00	1.24812	1.25188	1.24802	1.25183	2894	0	0
2022.06.02	10:00:00	1.25181	1.25380	1.25171	1.25283	4094	0	0
2022.06.02	11:00:00	1.25281	1.25446	1.25272	1.25374	3353	0	0
2022.06.02	12:00:00	1.25370	1.25478	1.25353	1.25426	2624	0	0
2022.06.02	13:00:00	1.25425	1.25521	1.25399	1.25498	2969	0	0
2022.06.02	14:00:00	1.25496	1.25598	1.25463	1.25567	2940	0	0
2022.06.02	15:00:00	1.25565	1.25713	1.25372	1.25548	4726	0	0
2022.06.02	16:00:00	1.25551	1.25602	1.25248	1.25303	5281	0	0
2022.06.02	17:00:00	1.25305	1.25624	1.25255	1.25444	6411	0	0
2022.06.02	18:00:00	1.25437	1.25648	1.25384	1.25562	3946	0	0
2022.06.02	19:00:00	1.25565	1.25818	1.25537	1.25813	3307	0	0
2022.06.02	20:00:00	1.25814	1.25857	1.25722	1.25808	3024	0	0
2022.06.02	21:00:00	1.25806	1.25866	1.25666	1.25668	2530	0	0
2022.06.02	22:00:00	1.25670	1.25744	1.25644	1.25742	2283	0	0
2022.06.02	23:00:00	1.25742	1.25786	1.25694	1.25748	1110	0	0
2022.06.03	00:00:00	1.25782	1.25784	1.25746	1.25746	172	0	8
2022.06.03	01:00:00	1.25745	1.25789	1.25741	1.25754	808	0	0
2022.06.03	02:00:00	1.25754	1.25794	1.25742	1.25784	836	0	0
2022.06.03	03:00:00	1.25784	1.25897	1.25712	1.25785	2446	0	0
2022.06.03	04:00:00	1.25788	1.25833	1.25705	1.25778	2591	0	0
2022.06.03	05:00:00	1.25777	1.25848	1.25735	1.25747	2369	0	0
2022.06.03	06:00:00	1.25748	1.25789	1.25712	1.25718	2335	0	0
2022.06.03	07:00:00	1.25713	1.25771	1.25687	1.25703	1828	0	0
2022.06.03	08:00:00	1.25703	1.25738	1.25663	1.25715	2532	0	0
2022.06.03	09:00:00	1.25714	1.25770	1.25662	1.25681	2419	0	0
2022.06.03	10:00:00	1.25679	1.25838	1.25591	1.25741	3560	0	0
2022.06.03	11:00:00	1.25741	1.25822	1.25714	1.25745	2638	0	0
2022.06.03	12:00:00	1.25746	1.25768	1.25651	1.25748	2777	0	0
2022.06.03	13:00:00	1.25749	1.25764	1.25596	1.25674	2317	0	0
2022.06.03	14:00:00	1.25673	1.25703	1.25576	1.25600	3330	0	0
2022.06.03	15:00:00	1.25599	1.25626	1.25210	1.25355	5527	0	0
2022.06.03	16:00:00	1.25354	1.25737	1.25343	1.25673	6495	0	0
2022.06.03	17:00:00	1.25673	1.25720	1.25189	1.25240	6381	0	0
2022.06.03	18:00:00	1.25241	1.25241	1.24918	1.24927	4244	0	0
2022.06.03	19:00:00	1.24928	1.25151	1.24927	1.25146	3113	0	0
2022.06.03	20:00:00	1.25141	1.25156	1.24964	1.24977	3854	0	0
2022.06.03	21:00:00	1.24976	1.25019	1.24934	1.25007	2495	0	0
2022.06.03	22:00:00	1.25007	1.25016	1.24946	1.24982	1747	0	0
2022.06.03	23:00:00	1.24978	1.24985	1.24853	1.24872	899	0	0
2022.06.06	00:00:00	1.24935	1.24935	1.24844	1.24906	226	0	18
2022.06.06	01:00:00	1.24902	1.24989	1.24866	1.24980	739	0	0
2022.06.06	02:00:00	1.24989	1.25023	1.24891	1.24899	1385	0	0
2022.06.06	03:00:00	1.24894	1.25008	1.24810	1.24825	2787	0	0
2022.06.06	04:00:00	1.24825	1.24924	1.24767	1.24855	3583	0	0
2022.06.06	05:00:00	1.24856	1.24958	1.24850	1.24906	2014	0	0
2022.06.06	06:00:00	1.24908	1.24969	1.24898	1.24955	1698	0	0
2022.06.06	07:00:00	1.24954	1.25009	1.24923	1.24994	1694	0	0
2022.06.06	08:00:00	1.24995	1.25082	1.24977	1.24981	2117	0	0
2022.06.06	09:00:00	1.24983	1.25376	1.24907	1.25354	3483	0	0
2022.06.06	10:00:00	1.25358	1.25467	1.25154	1.25465	5058	0	0
2022.06.06	11:00:00	1.25465	1.25776	1.25445	1.25728	4314	0	0
2022.06.06	12:00:00	1.25730	1.25732	1.25538	1.25641	3106	0	0
2022.06.06	13:00:00	1.25641	1.25666	1.25477	1.25548	2917	0	0
2022.06.06	14:00:00	1.25547	1.25705	1.25510	1.25696	2870	0	0
2022.06.06	15:00:00	1.25698	1.25705	1.25412	1.25566	3210	0	0
2022.06.06	16:00:00	1.25565	1.25570	1.25383	1.25526	4217	0	0
2022.06.06	17:00:00	1.25524	1.25610	1.25317	1.25562	5446	0	0
2022.06.06	18:00:00	1.25563	1.25586	1.25252	1.25441	5361	0	0
2022.06.06	19:00:00	1.25437	1.25448	1.25255	1.25397	3397	0	0
2022.06.06	20:00:00	1.25398	1.25482	1.25343	1.25389	2993	0	0
