Iteration at time 2024-05-23 20:12:25.266107, current price: 67325.34, positions: 0, capital: 100
Iteration at time 2024-05-23 20:13:25.311534, current price: 67313.56, positions: 0, capital: 100
Iteration at time 2024-05-23 20:14:25.341420, current price: 67275.16, positions: 0, capital: 100
Iteration at time 2024-05-23 20:15:25.381018, current price: 67195.6, positions: 0, capital: 100
Iteration at time 2024-05-23 20:16:25.411620, current price: 67244.94, positions: 0, capital: 100
Iteration at time 2024-05-23 20:17:25.442300, current price: 67359.41, positions: 0, capital: 100
Iteration at time 2024-05-23 20:18:25.476282, current price: 67342.27, positions: 0, capital: 100
Iteration at time 2024-05-23 20:19:25.514236, current price: 67309.62, positions: 0, capital: 100
Iteration at time 2024-05-23 20:20:25.555924, current price: 67270.64, positions: 0, capital: 100
Iteration at time 2024-05-23 20:21:25.591630, current price: 67244.37, positions: 0, capital: 100
Iteration at time 2024-05-23 20:22:25.632255, current price: 67267.51, positions: 0, capital: 100
Iteration at time 2024-05-23 20:23:25.664692, current price: 67267.79, positions: 0, capital: 100
Iteration at time 2024-05-23 20:24:25.696886, current price: 67265.05, positions: 0, capital: 100
Iteration at time 2024-05-23 20:25:25.731060, current price: 67260.66, positions: 0, capital: 100
Iteration at time 2024-05-23 20:26:25.763363, current price: 67229.84, positions: 0, capital: 100
Iteration at time 2024-05-23 20:27:25.796933, current price: 67241.59, positions: 0, capital: 100
Iteration at time 2024-05-23 20:28:25.831208, current price: 67316.92, positions: 0, capital: 100
Iteration at time 2024-05-23 20:29:25.874894, current price: 67375.95, positions: 0, capital: 100
Iteration at time 2024-05-23 20:30:25.909381, current price: 67368.57, positions: 0, capital: 100
Iteration at time 2024-05-23 20:31:25.948143, current price: 67370.65, positions: 0, capital: 100
Iteration at time 2024-05-23 20:32:25.984473, current price: 67388.53, positions: 0, capital: 100
Iteration at time 2024-05-23 20:33:26.026439, current price: 67509.21, positions: 0, capital: 100
Iteration at time 2024-05-23 20:34:26.060505, current price: 67488.82, positions: 0, capital: 100
Iteration at time 2024-05-23 20:35:26.093427, current price: 67554.08, positions: 0, capital: 100
Iteration at time 2024-05-23 20:36:26.126592, current price: 67585.89, positions: 0, capital: 100
Iteration at time 2024-05-23 20:37:26.158650, current price: 67472.02, positions: 0, capital: 100
Iteration at time 2024-05-23 20:38:26.189999, current price: 67516.62, positions: 0, capital: 100
Iteration at time 2024-05-23 20:39:26.224185, current price: 67533.93, positions: 0, capital: 100
Iteration at time 2024-05-23 20:40:26.257252, current price: 67517.39, positions: 0, capital: 100
Iteration at time 2024-05-23 20:41:26.288948, current price: 67549.54, positions: 0, capital: 100
Iteration at time 2024-05-23 20:42:26.329018, current price: 67490.48, positions: 0, capital: 100
Iteration at time 2024-05-23 20:43:26.362650, current price: 67523.13, positions: 0, capital: 100
Iteration at time 2024-05-23 20:44:26.404121, current price: 67481.6, positions: 0, capital: 100
Iteration at time 2024-05-23 20:45:26.441183, current price: 67356.1, positions: 0, capital: 100
Iteration at time 2024-05-23 20:46:26.491567, current price: 67303.3, positions: 0, capital: 100
Entered position at time 2024-05-23 20:47:26.523823, price: 67339.96, positions: 0.014850023670937731, capital: 100
Iteration at time 2024-05-23 20:47:26.523823, current price: 67339.96, positions: 0.014850023670937731, capital: 100
Iteration at time 2024-05-23 20:48:26.563707, current price: 67314.65, positions: 0.014850023670937731, capital: 100
Iteration at time 2024-05-23 20:49:26.600689, current price: 67379.05, positions: 0.014850023670937731, capital: 100
Iteration at time 2024-05-23 20:50:26.647746, current price: 67386.78, positions: 0.014850023670937731, capital: 100
Iteration at time 2024-05-23 20:51:26.687488, current price: 67285.92, positions: 0.014850023670937731, capital: 100
Iteration at time 2024-05-23 20:52:26.732838, current price: 67283.41, positions: 0.014850023670937731, capital: 100
Iteration at time 2024-05-23 20:53:26.769648, current price: 67269.24, positions: 0.014850023670937731, capital: 100
Iteration at time 2024-05-23 20:54:26.808523, current price: 67269.25, positions: 0.014850023670937731, capital: 100
Iteration at time 2024-05-23 20:55:26.848067, current price: 67215.69, positions: 0.014850023670937731, capital: 100
Iteration at time 2024-05-23 20:56:26.886297, current price: 67222.41, positions: 0.014850023670937731, capital: 100
Iteration at time 2024-05-23 20:57:26.935069, current price: 67183.68, positions: 0.014850023670937731, capital: 100
Iteration at time 2024-05-23 20:58:26.970913, current price: 67153.92, positions: 0.014850023670937731, capital: 100
Iteration at time 2024-05-23 20:59:27.010396, current price: 67035.55, positions: 0.014850023670937731, capital: 100
Entered position at time 2024-05-23 21:07:06.848734, price: 66575.04, positions: 0.015020644373627115, capital: 100
Iteration at time 2024-05-23 21:07:06.848734, current price: 66575.04, positions: 0.015020644373627115, capital: 100
Iteration at time 2024-05-23 21:08:06.891294, current price: 66638.05, positions: 0.015020644373627115, capital: 100
Exited position at time 2024-05-23 21:09:06.928570, price: 66695.9, profit_percentage: 0.1815395078996582, profit: 181.5395078996582, capital: 281.5395078996582
Iteration at time 2024-05-23 21:09:06.928570, current price: 66695.9, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 21:10:06.970311, current price: 66798.45, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 21:11:07.004601, current price: 66770.37, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 21:12:07.038146, current price: 66670.46, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 21:13:07.080444, current price: 66781.89, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 21:14:07.112840, current price: 66718.28, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 21:15:07.145541, current price: 66648.19, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 21:16:07.197632, current price: 66853.96, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 21:17:07.235432, current price: 66981.77, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 21:18:07.268484, current price: 67225.74, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 21:19:07.300066, current price: 67121.3, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 21:20:07.332281, current price: 67294.43, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 21:21:07.372746, current price: 67308.03, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 21:22:07.410381, current price: 67320.99, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 21:23:07.447720, current price: 67290.75, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 21:24:07.485523, current price: 67219.44, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 21:25:07.519907, current price: 67323.9, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 21:26:07.563001, current price: 67310.31, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 21:27:07.598997, current price: 67315.59, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 21:28:07.633193, current price: 67494.46, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 21:29:07.672867, current price: 67446.22, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 21:30:07.717124, current price: 67408.02, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 21:31:07.756610, current price: 67368.62, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 21:32:07.795547, current price: 67341.45, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 21:33:07.834970, current price: 67393.74, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 21:34:07.866895, current price: 67437.64, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 21:35:07.903712, current price: 67537.12, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 21:36:07.939493, current price: 67644.94, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 21:37:07.976028, current price: 67476.79, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 21:38:08.011897, current price: 67462.77, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 21:39:08.050086, current price: 67479.43, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 21:40:08.087468, current price: 67462.79, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 21:41:08.125433, current price: 67450.77, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 21:42:08.157228, current price: 67519.26, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 21:43:08.192769, current price: 67449.93, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 21:44:08.229544, current price: 67451.93, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 21:45:08.269797, current price: 67483.32, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 21:46:08.312686, current price: 67407.59, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 21:47:08.345455, current price: 67553.19, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 21:48:08.390272, current price: 67506.39, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 21:49:08.434244, current price: 67585.5, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 21:50:08.478403, current price: 67582.58, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 21:51:08.523662, current price: 67629.76, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 21:52:08.557718, current price: 67522.23, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 21:53:08.592309, current price: 67596.31, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 21:54:08.637837, current price: 67654.03, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 21:55:08.677512, current price: 67681.1, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 21:56:08.726987, current price: 67754.65, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 21:57:08.765207, current price: 67811.27, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 21:58:08.806081, current price: 67865.07, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 21:59:08.843444, current price: 67769.48, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 22:00:08.881039, current price: 67769.48, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 22:01:08.923453, current price: 67769.48, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 22:02:08.960719, current price: 67769.48, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 22:03:09.006069, current price: 67769.48, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 22:04:09.045623, current price: 67769.48, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 22:05:09.080487, current price: 67714.89, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 22:06:09.112751, current price: 68024.46, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 22:07:09.156301, current price: 67865.07, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 22:08:09.194621, current price: 67822.72, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 22:09:09.230867, current price: 68160.22, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 22:10:09.266274, current price: 68227.08, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 22:11:09.307108, current price: 68141.27, positions: 0, capital: 463.0790157993164
Iteration at time 2024-05-23 22:12:09.347900, current price: 68166.22, positions: 0, capital: 463.0790157993164
